,DATE,No_Cases,,,Row Labels,Sum of No_Cases,,,,,,,,,
0,2/1/2021,2034,,,Feb,52539,,,,Feb,52539,,,,
1,2/2/2021,1924,,,Mar,56868,,,,Mar,56868,,,,
2,2/3/2021,2058,,,Apr,54890,,,,Apr,54890,,,,
3,2/4/2021,1966,,,May,57834,,,,May,57834,,,,
4,2/5/2021,1870,,,Jun,54883,,,,Jun,54883,,,,250.88
5,2/6/2021,1855,,,Jul,56616,,,,Jul,56616,,,,
6,2/7/2021,1714,,,Aug,57536,,,,Aug,57536,,,,
7,2/8/2021,1968,,,Sep,56393,,,,Sep,56393,,,,
8,2/9/2021,1900,,,Oct,57191,,,,Oct,57191,,,,
9,2/10/2021,1930,,,Nov,55959,,,,Nov,55959,,,,
10,2/11/2021,1914,,,Grand Total,560709,,,,,,,,,
11,2/12/2021,1908,,,,,,,,,,,,,
12,2/13/2021,1818,,,,,,,,,,,,,
13,2/14/2021,1787,,,,,,,,,,,,,
14,2/15/2021,1828,,,,,,,,,,,,,
15,2/16/2021,1896,,,,,,,,,,,,,
16,2/17/2021,1823,,,,,,,,,,,,,
17,2/18/2021,1848,,,,,,,,,,,,,
18,2/19/2021,1738,,,,,,,,,,,,,
19,2/20/2021,1783,,,,,,,,,,,,,
20,2/21/2021,1676,,,,,,,,,,,,,
21,2/22/2021,1973,,,,,,,,,,,,,
22,2/23/2021,1954,,,,,,,,,,,,,
23,2/24/2021,1970,,,,,,,,,,,,,
24,2/25/2021,1964,,,,,,,,,,,,,
25,2/26/2021,1852,,,,,,,,,,,,,
26,2/27/2021,1904,,,,,,,,,,,,,
27,2/28/2021,1684,,,,,,,,,,,,,
28,3/1/2021,1899,,,,,,,,,,,,,
29,3/2/2021,1940,,,,,,,,,,,,,
30,3/3/2021,1970,,,,,,,,,,,,,
31,3/4/2021,1900,,,,,,,,,,,,,
32,3/5/2021,1878,,,,,,,,,,,,,
33,3/6/2021,1895,,,,,,,,,,,,,
34,3/7/2021,1732,,,,,,,,,,,,,
35,3/8/2021,1857,,,,,,,,,,,,,
36,3/9/2021,1976,,,,,,,,,,,,,
37,3/10/2021,1925,,,,,,,,,,,,,
38,3/11/2021,1863,,,,,,,,,,,,,
39,3/12/2021,1824,,,,,,,,,,,,,
40,3/13/2021,1841,,,,,,,,,,,,,
41,3/14/2021,1528,,,,,,,,,,,,,
42,3/15/2021,1751,,,,,,,,,,,,,
