High F,Low F,Prec/moinch,Prec/yrinch,Snow/moinch,Snow/yrinch,date
81,56.3,0.04,2.83,0,0,4/1/2021
81.3,56.5,0.04,2.83,0,0,4/2/2021
81.5,56.7,0.04,2.87,0,0,4/3/2021
81.8,57,0.08,2.87,0,0,4/4/2021
82.1,57.2,0.08,2.91,0,0,4/5/2021
82.4,57.4,0.12,2.91,0,0,4/6/2021
82.7,57.7,0.12,2.95,0,0,4/7/2021
82.9,57.9,0.12,2.95,0,0,4/8/2021
83.2,58.2,0.16,2.95,0,0,4/9/2021
83.5,58.4,0.16,2.99,0,0,4/10/2021
83.8,58.7,0.16,2.99,0,0,4/11/2021
84.1,59,0.2,2.99,0,0,4/12/2021
84.4,59.3,0.2,2.99,0,0,4/13/2021
84.7,59.6,0.2,3.03,0,0,4/14/2021
85,59.9,0.2,3.03,0,0,4/15/2021
85.3,60.2,0.2,3.03,0,0,4/16/2021
85.6,60.5,0.24,3.03,0,0,4/17/2021
85.9,60.8,0.24,3.03,0,0,4/18/2021
86.2,61.1,0.24,3.03,0,0,4/19/2021
86.5,61.4,0.24,3.07,0,0,4/20/2021
86.8,61.7,0.24,3.07,0,0,4/21/2021
87.1,62.1,0.24,3.07,0,0,4/22/2021
87.4,62.4,0.24,3.07,0,0,4/23/2021
87.7,62.7,0.24,3.07,0,0,4/24/2021
88.1,63.1,0.28,3.07,0,0,4/25/2021
88.4,63.4,0.28,3.07,0,0,4/26/2021
88.7,63.7,0.28,3.07,0,0,4/27/2021
89,64,0.28,3.07,0,0,4/28/2021
89.3,64.4,0.28,3.11,0,0,4/29/2021
89.6,64.7,0.28,3.11,0,0,4/30/2021
103.5,81,0.04,5.31,0,0,9/1/2021
103.3,80.8,0.04,5.31,0,0,9/2/2021
103.2,80.6,0.08,5.35,0,0,9/3/2021
103,80.4,0.12,5.39,0,0,9/4/2021
102.8,80.2,0.12,5.39,0,0,9/5/2021
102.6,80,0.16,5.43,0,0,9/6/2021
102.4,79.8,0.2,5.47,0,0,9/7/2021
102.2,79.5,0.2,5.47,0,0,9/8/2021
102,79.3,0.24,5.51,0,0,9/9/2021
101.7,79,0.24,5.51,0,0,9/10/2021
101.5,78.7,0.28,5.55,0,0,9/11/2021
101.2,78.4,0.28,5.55,0,0,9/12/2021
100.9,78.1,0.31,5.59,0,0,9/13/2021
100.6,77.8,0.31,5.59,0,0,9/14/2021
100.3,77.4,0.35,5.63,0,0,9/15/2021
100,77.1,0.39,5.67,0,0,9/16/2021
99.7,76.7,0.39,5.67,0,0,9/17/2021
99.4,76.4,0.39,5.71,0,0,9/18/2021
99,76,0.43,5.71,0,0,9/19/2021
98.7,75.6,0.43,5.75,0,0,9/20/2021
98.3,75.2,0.47,5.75,0,0,9/21/2021
97.9,74.9,0.47,5.79,0,0,9/22/2021
97.6,74.5,0.51,5.79,0,0,9/23/2021
